description,profile_image_url,id,name,screen_name,location,party
"Wife, mother, sister, daughter. Advisor to POTUS on job creation + economic empowerment, workforce development & entrepreneurship. Personal Pg. Views are my own",http://pbs.twimg.com/profile_images/1054179226100908032/i5ZXfFdE_normal.jpg,52544275,Ivanka Trump,IvankaTrump,"Washington, DC",republican
"Wife to my soul mate,  Mom, Craft beer, Great danes, Sarcasm, Co Av's. #Wyomingproud,  Sm biz owner, USAðŸ‡ºðŸ‡¸ðŸ‡ºðŸ‡¸ #FREEDOM #NRA",http://pbs.twimg.com/profile_images/1331323758007644160/_ssHcFDO_normal.jpg,985728510,Metal Ivy,Metalivy74,Wyoming/Colorado,republican
This account is run by the Office of First Lady Melania Trump. Tweets may be archived. More at https://t.co/eVVzoBb3Zr,http://pbs.twimg.com/profile_images/848946510918295557/RmsOl1zv_normal.jpg,818876014390603776,Melania Trump,FLOTUS,"Washington, D.C.",republican
,http://pbs.twimg.com/profile_images/1187791412517130240/AgHXw_VM_normal.jpg,3135241,RedState,RedState,"Washington, D.C.",republican
"100%Trump Supporter, I Follow Back #MAGA #Christian,#CCOT #BuildtheWall,   Love Jesus Christ, my Family, my Country and love our President Donald Trump! #WWG1WG",http://pbs.twimg.com/profile_images/1125263585494454277/e7WKopsb_normal.png,1005373425819553792,#Veteran #AmericaFirst #MAGA #Trump2020,donaldjrtrain,"Indiana, USA",republican
A group of concerned citizens,http://pbs.twimg.com/profile_images/698026621094080514/qm9MAFiB_normal.png,4838049200,Keep America Great,KeepAmerGreat,,republican
"Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",http://pbs.twimg.com/profile_images/1322868917350633473/XVo77UyL_normal.jpg,23022687,Ted Cruz,tedcruz,"Houston, Texas",republican
"Chairwoman @AZGOP, mom, military wife, family physician, & former AZ State Senator #Win2020 #KeepAmericaGreat #ProLife #ProFamily #ProFreedom ðŸ‡ºðŸ‡¸",http://pbs.twimg.com/profile_images/1221960046222831616/itarRYxl_normal.jpg,359403242,Dr. Kelli Ward ðŸ‡ºðŸ‡¸,kelliwardaz,"Phoenix, AZ",republican
"""Trump Card"" is an exposÃ© of the socialism, corruption, and gangsterization that now define the Democratic Party. Available on DVD and VOD now.",http://pbs.twimg.com/profile_images/890967538292711424/8puyFbiI_normal.jpg,91882544,Dinesh D'Souza,DineshDSouza,United States,republican
@WhiteHouse Press Secretary. Connecting the American People to President @realDonaldTrumpâ€™s agenda. Tweets may be archived: https://t.co/eVVzoBb3Zr.,http://pbs.twimg.com/profile_images/1250415895383506944/EttGxOru_normal.jpg,818927131883356161,Kayleigh McEnany,PressSec,"Washington, D.C.",republican
intelligent women vote for @realdonaldtrump â€¢â€¢â€¢â€¢â€¢ @trumpstudents â€¢â€¢â€¢â€¢ â‡£ check out the link below â‡£,http://pbs.twimg.com/profile_images/1324136700076040193/2hQrzV0L_normal.jpg,1318619325402591232,TRUMP 2020,baddiesfortrump,,republican
Little brown woman. Big mouth. Wife. Mom. Entrepreneur. Geek. #WhoIsNext #StillAThing #ManitouIncline #freedanielholtzclaw #EffSharia #FightTheCensors,http://pbs.twimg.com/profile_images/1212251237913022464/dWo7RZX6_normal.jpg,15976697,Michelle Malkin,michellemalkin,USA,republican
We are the Republican Conference in the United States House of Representatives ðŸ‡ºðŸ‡¸,http://pbs.twimg.com/profile_images/1050050759050571781/IPIU5Jma_normal.jpg,15207668,House Republicans,HouseGOP,"Washington, DC",republican
@Mike_Pence Comms Director. #1 fan of @realDonaldTrump & @Mike_Pence. Tweets may be archived: https://t.co/eVVzoBb3Zr.,http://pbs.twimg.com/profile_images/1268550052076818432/zUJ9Us2__normal.jpg,842071545296084992,Katie Miller,VPComDir,"Washington, DC",republican
Representing California's 28th Congressional District. Chairman of the House Intelligence Committee (@HouseIntel).,http://pbs.twimg.com/profile_images/1268175179626303497/-DNpPNUm_normal.jpg,29501253,Adam Schiff,RepAdamSchiff,"Burbank, CA",republican
NC girl in NYC #MAGA,http://pbs.twimg.com/profile_images/1299885652897673217/7y3TYuC0_normal.jpg,75541946,Lara Trump,LaraLeaTrump,New York City,republican
"Get Your #FreeKyleRittennhouse here:
https://t.co/A6a8Lkoxdmâ€¦

Got a shirt idea? We make it - you make $12 per shirt sold at $24",http://pbs.twimg.com/profile_images/1284971868848521216/Ejr4ieBH_normal.jpg,1321370426,#Trump2020 #MAGA,2soon4that,,republican
Fox Nation Host. Faith. Family. Freedom. Final Thoughts. https://t.co/1pXmBlysWg,http://pbs.twimg.com/profile_images/1174073050666393600/hbtxan7s_normal.jpg,468646961,Tomi Lahren,TomiLahren,"Nashville, TN",republican
Parler @GenFlynn #AmericanExceptionalism #DigitalSoldiers #BendedKnee ISAIAH 6:8 @TJHproject #TakeTheOath,http://pbs.twimg.com/profile_images/836614721726001152/tc1LJ2XF_normal.jpg,240454812,General Flynn,GenFlynn,"Parler, America",republican
"Georgetown Law 2020 Juris Doctor | President of Cyberlaw SocietyâŽœRA for Prof. Hopwood: Criminal Justice ReformâŽœUPenn, B.A. Sociology: Law & Society",http://pbs.twimg.com/profile_images/1275361395329163265/5RXRsCeU_normal.jpg,245963716,Tiffany Ariana Trump,TiffanyATrump,"Washington, DC",republican
Christian â€¢ Single Mom â€¢ #StandWithIsrael ðŸ‡®ðŸ‡± â€¢ Former @realDonaldTrump appointee #CruzCrew #McCain alumni #2A #ProLife #MAGA,http://pbs.twimg.com/profile_images/1317612740735795200/qgXqaEDg_normal.jpg,582135529,XIMENA,RepublicanChick,"Washington, DC",republican
"TV Host Fox News Channel 9 PM EST. Nationally Syndicated Radio Host 3-6 PM EST. https://t.co/z23FRgA02S Retweets, Follows NOT endorsements! Due to hackings, no DMâ€™s!",http://pbs.twimg.com/profile_images/1298273293061853188/5SVIYpyY_normal.jpg,41634520,Sean Hannity,seanhannity,NYC,republican
The official Twitter account of the Republican Party of Arizona.,http://pbs.twimg.com/profile_images/1215061301468135424/24fi8iw3_normal.jpg,15937190,Arizona Republican Party,AZGOP,"Phoenix, AZ",republican
Vice President of the United States,http://pbs.twimg.com/profile_images/1320890359505915910/o9n6k6x1_normal.jpg,22203756,Mike Pence,Mike_Pence,,republican
"Principal, SHW Partners LLC. @realDonaldTrump 2020 Senior Advisor. 2016 Senior Communications Advisor, Transition Team Communications Director. 2 Timothy 1:7.",http://pbs.twimg.com/profile_images/1202307702715830277/1fZGqKca_normal.jpg,1084375028,Jason Miller,JasonMillerinDC,"Washington, DC",republican
"Melting #SnowFlakes with the fire of Patriotism. Destroying Liberals Daily 
One of the most Targeted accounts on Twitter. III% Patriots #WhyLiberalsSuck",http://pbs.twimg.com/profile_images/990351165559902208/OzC0iV7A_normal.jpg,3389073989,GodGuns&Trump ðŸ‡ºðŸ‡¸,PatriotByGod,"Las Vegas, NV",republican
"Director of Operations @realDonaldTrump 2020. Previously @NASA, @WhiteHouse, @realDonaldTrump 2016.",http://pbs.twimg.com/profile_images/1191484499047145473/0aTce6SG_normal.jpg,473654129,Megan Powers,_MeganPowers,"Washington, DC",republican
"Lou Dobbs Tonight, Fox Business Network, 5, 7 & 10 PM/ET",http://pbs.twimg.com/profile_images/1291061804982992896/FmNLrPOG_normal.jpg,26487169,Lou Dobbs,LouDobbs,"New York, NY",republican
Official Twitter for Congressman Matt Gaetz. Proud conservative who is honored to serve the First District of Florida.,http://pbs.twimg.com/profile_images/1080559825946374144/n1tU4WLx_normal.jpg,818948638890217473,Rep. Matt Gaetz,RepMattGaetz,,republican
"Highlighting @realDonaldTrump's #PromisesKept, fighting #FakeNews. This account punches back 10x harder. Managed by the @TeamTrump 2020 campaign. #MAGA",http://pbs.twimg.com/profile_images/1109170568950095879/Q5nCWHLB_normal.png,1108472017144201216,Trump War Room,TrumpWarRoom,MAGA Country,republican
Text TWITTER to 80810 to receive exclusive updates from the Republican National Committee!,http://pbs.twimg.com/profile_images/975343259001106432/7uzLo2Tx_normal.jpg,11134252,GOP,GOP,,republican
The Republican Jewish Coalition is a Republican voice in the Jewish community and a voice for American Jews in the GOP.,http://pbs.twimg.com/profile_images/797105092407291904/IIIvW_vg_normal.jpg,39510422,RJC,RJC,,republican
"Christian - Father - Investigator - Political Analyst - Founder of https://t.co/BK6f3SeNA1 - Truth Slinger - Si Vis Pacem, Para Bellum - IG/Parler/Gab: @RealMattCouch",http://pbs.twimg.com/profile_images/1330368465740423168/8TcYECAu_normal.jpg,601535938,Matt Couch,RealMattCouch,"NW Arkansas, USA",republican
"@realdonaldtrump 2020 Strategic Advisor, former Special Assistant to POTUS, Comms Director - Trump Inaugural, Battle for 1600 Podcast - https://t.co/oceoPNhuUh",http://pbs.twimg.com/profile_images/1321211587211001856/kF2VRn1__normal.jpg,76543481,Boris Epshteyn,BorisEP,"ÃœT: 40.744258,-73.995578",republican
Proudly serving Ohio's beautiful Fourth District. Ranking Member on @JudiciaryGOP. Fighting to #DoWhatWeSaid,http://pbs.twimg.com/profile_images/596012379231617025/TtrAXbnA_normal.jpg,18166778,Rep. Jim Jordan,Jim_Jordan,"Washington, D.C. ",republican
"@GOP Chairwoman | Wife, mother of two",http://pbs.twimg.com/profile_images/1186333396873732096/Elg8rktK_normal.jpg,2353605901,Ronna McDaniel,GOPChairwoman,,republican
