type,name,screen_name,party,id
member,Andy Kim,RepAndyKimNJ,D,1078771848882593793
member,Bill Pascrell,BillPascrell,D,74508260
member,Bonnie Watson Coleman,RepBonnie,D,2968451607
member,Chris Smith,RepChrisSmith,R,1289319271
member,Donald Norcross,DonaldNorcross,D,3122099613
member,Donald Payne Jr,RepDonaldPayne,D,1155335864
member,Frank Pallone,FrankPallone,D,31801993
member,Jeff Van Drew,CongressmanJVD,R,1083469084648505344
member,Josh Gottheimer,RepJoshG,D,815310506596691968
member,Mikie Sherrill,RepSherrill,D,1080569698536878081
member,Tom Malinowski,RepMalinowski,D,1080898026418384897
member,Ben Ray Lujan,repbenraylujan,D,19318314
member,Deb Haaland,RepDebHaaland,D,1080695666760929280
member,Xochitl Torres Small,RepTorresSmall,D,1080830346915209216
member,Dina Titus,repdinatitus,D,122174004
member,Mark Amodei,MarkAmodeiNV2,R,402719755
member,Steven Horsford,RepHorsford,D,389840566
member,Susie Lee,RepSusieLee,D,1079061579973439488
member,Adriano Espaillat,RepEspaillat,D,817076257770835968
member,Alexandria Ocasio-Cortez,RepAOC,D,1079104563280527364
member,Anthony Brindisi,RepBrindisi,D,1080978331535896576
member,Antonio Delgado,repdelgado,D,1080485692298444800
member,Brian Higgins,RepBrianHiggins,D,33576489
member,Carolyn Maloney,RepMaloney,D,258900199
member,Chris Jacobs,RepJacobs,R,1276232539510919168
member,Eliot Engel,RepEliotEngel,D,164007407
member,Elise Stefanik,RepStefanik,R,2962813893
member,Grace Meng,RepGraceMeng,D,1051127714
member,Gregory Meeks,RepGregoryMeeks,D,22812754
member,Hakeem Jeffries,RepJeffries,D,467823431
member,Jerrold Nadler,RepJerryNadler,D,40302336
member,John Katko,RepJohnKatko,R,2966765501
member,Jose E. Serrano,RepJoseSerrano,D,33563161
member,Joseph Morelle,JoeMorelle,D,106787853
member,Joseph Morelle,RepJoeMorelle,D,1064595993222615040
member,Kathleen Rice,RepKathleenRice,D,2970462034
member,Lee Zeldin,RepLeeZeldin,R,2750127259
member,Max Rose,RepMaxRose,D,1078692057940742144
member,Nita Lowey,NitaLowey,D,221792092
member,Nydia Velazquez,NydiaVelazquez,D,164369297
member,Paul Tonko,RepPaulTonko,D,84119348
member,Peter T. King,RepPeteKing,R,18277655
member,Sean Maloney,RepSeanMaloney,D,1072467470
member,Thomas Suozzi,RepTomSuozzi,D,816705409486618624
member,Tom Reed,RepTomReed,R,252819323
member,Yvette Clarke,RepYvetteClarke,D,240812994
member,Anthony Gonzalez,RepAGonzalez,R,1054381765224210432
member,Bill Johnson,RepBillJohnson,R,211530910
member,Bob Gibbs,RepBobGibbs,R,234822928
member,Bob Latta,boblatta,R,15394954
member,Brad Wenstrup,RepBradWenstrup,R,518644221
member,David Joyce,RepDaveJoyce,R,976969338
member,Jim Jordan,Jim_Jordan,R,18166778
member,Joyce Beatty,RepBeatty,D,1531521632
member,Marcia Fudge,RepMarciaFudge,D,153486399
member,Marcy Kaptur,RepMarcyKaptur,D,581141508
member,Mike Turner,RepMikeTurner,R,51228911
member,Steve Chabot,RepSteveChabot,R,237750442
member,Steve Stivers,RepSteveStivers,R,211420609
member,Tim Ryan,RepTimRyan,D,13491312
member,Troy Balderson,RepBalderson,R,1037341536592310272
member,Warren Davidson,WarrenDavidson,R,742735530287304704
member,Frank Lucas,RepFrankLucas,R,242772524
member,Kendra Horn,RepKendraHorn,D,1083019402046513152
member,Kevin Hern,repkevinhern,R,1067818539179024386
member,Markwayne Mullin,RepMullin,R,1060370282
member,Tom Cole,TomColeOK04,R,23124635
member,Earl Blumenauer,BlumenauerMedia,D,137823987
member,Greg Walden,repgregwalden,R,32010840
member,Kurt Schrader,RepSchrader,D,20545793
member,Peter DeFazio,RepPeterDeFazio,D,252249233
member,Suzanne Bonamici,RepBonamici,D,558769636
member,Brendan Boyle,CongBoyle,D,4304448314
member,Brian Fitzpatrick,RepBrianFitz,R,816303263586914304
member,Chrissy Houlahan,RepHoulahan,D,1052896620797460481
member,Conor Lamb,RepConorLamb,D,984456621417000960
member,Dan Meuser,RepMeuser,R,1080574793630527505
member,Dwight Evans,RepDwightEvans,D,90639372
member,Fred Keller,RepFredKeller,R,1136060761422405633
member,Glenn Thompson,CongressmanGT,R,18967498
member,Guy Reschenthaler,GReschenthaler,R,4205133682
member,John Joyce,RepJohnJoyce,R,1082311988926124036
member,Lloyd Smucker,RepSmucker,R,41417564
member,Madeleine Dean,RepDean,D,567508925
member,Mary Scanlon,RepMGS,D,1067541214671577093
member,Matt Cartwright,RepCartwright,D,776664410
member,Michael F. Doyle,USRepMikeDoyle,D,39249305
member,Mike Kelly,MikeKellyPA,R,935368364
member,Scott Perry,RepScottPerry,R,18773159
member,Susan Wild,RepSusanWild,D,1069636653353000962
member,Jenniffer Gonzalez,RepJenniffer,R,819744763020775425
member,David Cicilline,RepCicilline,D,462143773
member,Jim Langevin,JimLangevin,D,18909919
member,Jeff Duncan,RepJeffDuncan,R,240393970
member,Jim Clyburn,WhipClyburn,D,188019606
member,Joe Cunningham,RepCunningham,D,1080198683713507335
member,Joe Wilson,RepJoeWilson,R,254082173
member,Ralph Norman,RepRalphNorman,R,880480631108644864
member,Tom Rice,RepTomRice,R,1058345042
member,William Timmons,reptimmons,R,1079770852302958592
member,Dusty Johnson,RepDustyJohnson,R,1074782372594413569
member,Chuck Fleischmann,RepChuck,R,235190657
member,David Kustoff,repdavidkustoff,R,816012124505931780
member,Jim Cooper,repjimcooper,D,22523087
member,John Rose,RepJohnRose,R,1081312310059253763
member,Mark Green,RepMarkGreen,R,1080477288955826176
member,Phil Roe,DrPhilRoe,R,52503751
member,Scott DesJarlais,DesJarlaisTN04,R,235312723
member,Steve Cohen,RepCohen,D,162069635
member,Tim Burchett,RepTimBurchett,R,1028854804087492613
member,Al Green,RepAlGreen,D,156333623
member,Al Green,RepAlGreenTX,D,327625079
member,Bill Flores,RealBillFlores,R,237312687
member,Brian Babin,RepBrianBabin,R,2929491549
member,Chip Roy,RepChipRoy,R,1082790600292925440
member,Colin Allred,RepColinAllred,D,1078355119920562176
member,Dan Crenshaw,RepDanCrenshaw,R,1080894931311431682
member,Eddie Bernice Johnson,RepEBJ,D,168502762
member,Filemon Vela,RepFilemonVela,D,1083448909
member,Henry Cuellar,RepCuellar,D,210926192
member,Joaquin Castro,JoaquinCastrotx,D,231510077
member,Jodey Arrington,RepArrington,R,816284664658874368
member,John Carter,JudgeCarter,R,18030431
member,Kay Granger,RepKayGranger,R,161743731
member,Kenny Marchant,RepKenMarchant,R,23976316
member,Kevin Brady,RepKevinBrady,R,19926675
member,Lance Gooden,RepLanceGooden,R,412595957
member,Lizzie Fletcher,RepFletcher,D,1075904377221722113
member,Lloyd Doggett,RepLloydDoggett,D,153944899
member,Louie Gohmert,replouiegohmert,R,22055226
member,Mac Thornberry,MacTXPress,R,377534571
member,Mark Veasey,RepVeasey,D,1074129612
member,Michael C. Burgess,michaelcburgess,R,15751083
member,Michael Cloud,RepCloudTX,R,1039879658400112640
member,Michael McCaul,RepMcCaul,R,26424123
member,Mike Conaway,ConawayTX11,R,295685416
member,Pete Olson,RepPeteOlson,R,20053279
member,Randy Weber,TXRandy14,R,1058051748
member,Roger Williams,RepRWilliams,R,1077446982
member,Ron Wright,RepRonWright,R,1080854935535800320
member,Sheila Jackson Lee,JacksonLeeTX18,D,80612021
member,Sylvia Garcia,RepSylviaGarcia,D,1080587263132733442
member,Van Taylor,RepVanTaylor,R,1075040139351597056
member,Veronica Escobar,RepEscobar,D,1075517806551154689
member,Vicente Gonzalez,RepGonzalez,D,818536152588238849
member,Will Hurd,HurdOnTheHill,R,2963445730
member,Ben McAdams,RepBenMcAdams,D,196362083
member,Chris Stewart,RepChrisStewart,R,1072008757
member,John Curtis,RepJohnCurtis,R,931614483050414080
member,Rob Bishop,RepRobBishop,R,148006729
member,Abigail Spanberger,RepSpanberger,D,1078771401497161728
member,Ben Cline,RepBenCline,R,1072158357237174272
member,Bobby Scott,BobbyScott,D,161791703
member,Denver Riggleman,RepRiggleman,R,1080504024695222273
member,Don Beyer,RepDonBeyer,D,2962868158
member,Donald McEachin,RepMcEachin,D,816181091673448448
member,Elaine Luria,RepElaineLuria,D,1080292515939565568
member,Gerry Connolly,GerryConnolly,D,78445977
member,Jennifer Wexton,RepWexton,D,1017819745880543238
member,Morgan Griffith,RepMGriffith,R,234057152
member,Rob Wittman,RobWittman,R,15356407
member,Stacey Plaskett,StaceyPlaskett,D,2724095695
member,Peter Welch,PeterWelch,D,1410590874
member,Adam Smith,RepAdamSmith,D,58928690
member,Cathy McMorris Rodgers,cathymcmorris,R,17976923
member,Dan Newhouse,RepNewhouse,R,2930635215
member,Denny Heck,RepDennyHeck,D,1068499286
member,Derek Kilmer,RepDerekKilmer,D,1058917562
member,Jaime Herrera Beutler,HerreraBeutler,R,242926427
member,Kim Schrier,RepKimSchrier,D,1080462532815532032
member,Pramila Jayapal,RepJayapal,D,815733290955112448
member,Rick Larsen,RepRickLarsen,D,404132211
member,Suzan DelBene,RepDelBene,D,995193054
member,Bryan Steil,RepBryanSteil,R,1075205691621720064
member,Glenn Grothman,RepGrothman,R,2976606250
member,Gwen Moore,RepGwenMoore,D,22669526
member,Jim Sensenbrenner,JimPressOffice,R,851621377
member,Mark Pocan,repmarkpocan,D,1206227149
member,Mike Gallagher,RepGallagher,R,815966620300480514
member,Ron Kind,RepRonKind,D,112740986
member,Alex Mooney,RepAlexMooney,R,2964526557
member,Carol Miller,RepCarolMiller,R,1081318716573470720
member,David McKinley,RepMcKinley,R,240427862
member,Liz Cheney,RepLizCheney,R,816719802328715264
party,House Democrats,dccc,D,14676022
party,House Democrats,HouseDemocrats,D,43963249
party,House Democrats,DemCloakroom,D,2557507771
party,House Democrats,HouseDPCC,D,3027286779
party,House Republicans,NRCC,R,5496932
party,House Republicans,GOPpolicy,R,10840862
party,House Republicans,HouseGOP,R,15207668
party,House Republicans,RepCloakroom,R,1137600571
party,House Republicans,GOPEspanol,R,1138688364
committee,Joint Economic Committee,JECRepublicans,R,109280446
committee,Joint Economic Committee,JECDems,D,116505994
caucus,Senate Western Caucus,SenWestCaucus,R,432854654
committee,"Senate Committee on Agriculture, Nutrition, and Forestry",SenateAgDems,D,233696188
committee,"Senate Committee on Agriculture, Nutrition, and Forestry",SenateAgGOP,R,3006258669
committee,Senate Committee on Appropriations,SenateApprops,D,352534407
committee,Senate Committee on Armed Services,SASCMajority,R,275572403
committee,Senate Committee on Armed Services,SASCDems,D,2863228577
committee,"Senate Committee on Banking, Housing, and Urban Affairs",SenateBanking,D,104324860
committee,"Senate Committee on Banking, Housing, and Urban Affairs",BankingGOP,R,1242040290
committee,"Senate Committee on Commerce, Science, and Transportation",SenateCommerce,R,386092483
committee,"Senate Committee on Commerce, Science, and Transportation",commercedems,D,1097141276552630272
committee,Senate Committee on Energy and Natural Resources,EnergyGOP,R,82657929
committee,Senate Committee on Energy and Natural Resources,EnergyDems,D,277124730
committee,Senate Committee on Environment and Public Works,EPWDems,D,245891006
committee,Senate Committee on Environment and Public Works,EPWGOP,R,1055515873
committee,Senate Committee on Finance,SenateFinance,D,628709039
committee,Senate Committee on Finance,SenFinance,R,701821488
committee,"Senate Committee on Health, Education, Labor, and Pensions",GOPHELP,R,292972175
committee,"Senate Committee on Health, Education, Labor, and Pensions",HELPCmteDems,D,1262362578
committee,Senate Committee on Indian Affairs,IndianCommittee,R,329761746
committee,Senate Committee on Small Business and Entrepreneurship,SenateSmallBiz,D,2654291262
committee,Senate Committee on Small Business and Entrepreneurship,SmallBizCmte,R,2932401927
committee,Senate Committee on Veterans' Affairs,senateva,R,1009054656
committee,Senate Committee on the Budget,SenateBudget,D,172470598
committee,Senate Committee on the Budget,BudgetGOP,R,2992440550
committee,Senate Committee on the Judiciary,senjudiciary,R,704320143824953344
committee,Senate Committee on the Judiciary,JudiciaryDems,D,818513652814843906
committee,Senate Special Committee on Aging,SenateAging,R,2359937696
committee,Senate Special Committee on Aging,DemsOnAging,D,824712291669118980
member,Dan Sullivan,SenDanSullivan,R,2891210047
member,Lisa Murkowski,lisamurkowski,R,18061669
member,Doug Jones,SenDougJones,D,941080085121175552
member,Richard Shelby,SenShelby,R,21111098
member,John Boozman,JohnBoozman,R,5558312
member,Tom Cotton,SenTomCotton,R,968650362
member,Kyrsten Sinema,SenatorSinema,D,1080844782
member,Mark Kelly,SenMarkKelly,D,1324926274888888320
member,Dianne Feinstein,SenFeinstein,D,476256944
member,Kamala Harris,SenKamalaHarris,D,803694179079458816
member,Cory Gardner,SenCoryGardner,R,235217558
member,Michael Bennet,SenatorBennet,D,224285242
member,Chris Murphy,SenMurphyOffice,D,2853793517
member,Richard Blumenthal,SenBlumenthal,D,278124059
member,Chris Coons,SenCoonsOffice,D,435500714
member,Tom Carper,SenatorCarper,D,249787913
member,Marco Rubio,SenRubioPress,R,229966028
member,Rick Scott,SenRickScott,R,131546062
member,David Perdue,sendavidperdue,R,2863210809
member,Kelly Loeffler,SenatorLoeffler,R,1200451909406121984
member,Brian Schatz,SenBrianSchatz,D,1262099252
member,Mazie Hirono,maziehirono,D,92186819
member,Chuck Grassley,ChuckGrassley,R,10615232
member,Chuck Grassley,GrassleyPress,R,294126378
member,Joni Ernst,SenJoniErnst,R,2856787757
member,Jim Risch,SenatorRisch,R,1096059529
member,Mike Crapo,MikeCrapo,R,600463589
member,Dick Durbin,SenatorDurbin,D,247334603
member,Tammy Duckworth,SenDuckworth,D,1058520120
member,Mike Braun,SenatorBraun,R,1080870981877534720
member,Todd Young,SenToddYoung,R,234128524
member,Jerry Moran,JerryMoran,R,18632666
member,Pat Roberts,SenPatRoberts,R,75364211
member,Mitch McConnell,SRCC,R,19029580
member,Mitch McConnell,McConnellPress,R,339822881
member,Mitch McConnell,SenateMajLdr,R,1249982359
member,Rand Paul,RandPaul,R,216881337
member,Bill Cassidy,SenBillCassidy,R,1017500185356853248
member,John Kennedy,SenJohnKennedy,R,816683274076614656
member,Ed Markey,SenMarkey,D,21406834
member,Elizabeth Warren,SenWarren,D,970207298
member,Ben Cardin,SenatorCardin,D,109071031
member,Chris Van Hollen,ChrisVanHollen,D,18137749
member,Angus King,SenAngusKing,I,1068481578
member,Susan Collins,SenatorCollins,R,19726613
member,Debbie Stabenow,SenStabenow,D,76456274
member,Gary Peters,SenGaryPeters,D,236511574
member,Amy Klobuchar,SenAmyKlobuchar,D,22044727
member,Tina Smith,SenTinaSmith,D,941000686275387392
member,Josh Hawley,SenHawleyPress,R,1080960924687704064
member,Roy Blunt,RoyBlunt,R,21269970
member,Roy Blunt,RoyBluntPress,R,238177562
member,Cindy Hyde-Smith,SenHydeSmith,R,983348251972816896
member,Roger Wicker,SenatorWicker,R,264219447
member,Jon Tester,SenatorTester,D,515822213
member,Steve Daines,SteveDaines,R,11651202
member,Richard Burr,SenatorBurr,R,21157904
member,Thom Tillis,SenThomTillis,R,2964174789
member,John Hoeven,SenJohnHoeven,R,382791093
member,Kevin Cramer,SenKevinCramer,R,1048784496
member,Ben Sasse,SenSasse,R,2962923040
member,Deb Fischer,SenatorFischer,R,1071402577
member,Jeanne Shaheen,SenatorShaheen,D,109287731
member,Maggie Hassan,SenatorHassan,D,946549322
member,Bob Menendez,SenatorMenendez,D,18695134
member,Cory Booker,SenBooker,D,2167097881
member,Martin Heinrich,MartinHeinrich,D,1099199839
member,Tom Udall,SenatorTomUdall,D,60828944
member,Catherine Cortez Masto,SenCortezMasto,D,811313565760163844
member,Jacky Rosen,SenJackyRosen,D,818554054309715969
member,Chuck Schumer,SenSchumer,D,17494010
member,Kirsten Gillibrand,gillibrandny,D,899978622416695297
member,Rob Portman,senrobportman,R,18915145
member,Rob Portman,PortmanPress,R,240790556
member,Sherrod Brown,SenSherrodBrown,D,43910797
member,James Lankford,SenatorLankford,R,225921757
member,Jim Inhofe,JimInhofe,R,7270292
member,Jim Inhofe,InhofePress,R,20546536
member,Jeff Merkley,SenJeffMerkley,D,29201047
member,Ron Wyden,RonWyden,D,250188760
member,Ron Wyden,WydenPress,D,292495654
member,Bob Casey Jr.,SenBobCasey,D,171598736
member,Pat Toomey,SenToomey,R,221162525
member,Jack Reed,SenJackReed,D,486694111
member,Sheldon Whitehouse,SenWhitehouse,D,242555999
member,Lindsey Graham,GrahamBlog,R,14845376
member,Tim Scott,SenatorTimScott,R,217543151
member,John Thune,SenJohnThune,R,296361085
member,Mike Rounds,SenatorRounds,R,2955485182
member,Lamar Alexander,SenAlexander,R,76649729
member,Marsha Blackburn,MarshaBlackburn,R,278145569
member,John Cornyn,JohnCornyn,R,13218102
member,Ted Cruz,SenTedCruz,R,1074480192
member,Mike Lee,SenMikeLee,R,88784440
member,Mitt Romney,SenatorRomney,R,1078693601356509184
member,Mark Warner,MarkWarner,D,7429102
member,Tim Kaine,timkaine,D,172858784
member,Tim Kaine,SenKaineOffice,D,1267940407
member,Bernie Sanders,SenSanders,I,29442313
member,Patrick Leahy,SenatorLeahy,D,242836537
member,Maria Cantwell,SenatorCantwell,D,117501995
member,Patty Murray,PattyMurray,D,293131808
member,Ron Johnson,SenRonJohnson,R,233737858
member,Tammy Baldwin,SenatorBaldwin,D,1074518754
member,Joe Manchin,Sen_JoeManchin,D,234374703
member,Shelley Moore Capito,SenCapito,R,193794406
member,John Barrasso,SenJohnBarrasso,R,202206694
member,Mike Enzi,SenatorEnzi,R,291756142
party,Senate Democrats,dscc,D,14466538
party,Senate Democrats,SenateDems,D,73238146
party,Senate Democrats,DSenFloor,D,729177876
party,Senate Democrats,SenDemsClimate,D,1148973240355827713
party,Senate Republicans,NRSC,R,5693842
party,Senate Republicans,SenateGOP,R,14344823
party,Senate Republicans,SenateRPC,R,114896223
party,Senate Republicans,senategopfloor,R,476209692
